PLAYER_NAME,PTS,AST,REB,STL,BLK,TOV,FG3A,FTA,MIN,ARCHETYPE
A.J. Lawson,3.051282051282051,0.46153846153846156,1.2307692307692308,0.2564102564102564,0.05128205128205128,0.358974358974359,1.0769230769230769,0.48717948717948717,7.282051282051282,3
AJ Green,4.584905660377358,0.5094339622641509,1.169811320754717,0.16981132075471697,0.07547169811320754,0.22641509433962265,3.0943396226415096,0.33962264150943394,11.075471698113208,3
Aaron Gordon,13.985714285714286,3.557142857142857,6.557142857142857,0.7142857142857143,0.5714285714285714,1.4714285714285715,1.9142857142857144,3.7857142857142856,31.542857142857144,0
Aaron Holiday,6.773333333333333,1.8533333333333333,1.5866666666666667,0.56,0.08,0.68,2.8266666666666667,0.84,16.453333333333333,3
Aaron Nesmith,12.159420289855072,1.5072463768115942,3.7246376811594204,0.9420289855072463,0.6666666666666666,0.9130434782608695,4.608695652173913,1.8985507246376812,27.72463768115942,1
Aaron Wiggins,7.133333333333334,1.1333333333333333,2.44,0.7466666666666667,0.24,0.72,1.6533333333333333,0.92,15.906666666666666,3
Adama Sanogo,4.666666666666667,0.0,5.0,0.16666666666666666,0.0,0.6666666666666666,0.0,1.5,9.166666666666666,3
Al Horford,8.806451612903226,2.629032258064516,6.306451612903226,0.5806451612903226,0.9838709677419355,0.6774193548387096,4.032258064516129,0.4838709677419355,27.016129032258064,1
Alec Burks,10.158730158730158,1.3650793650793651,2.2063492063492065,0.42857142857142855,0.14285714285714285,0.7619047619047619,4.888888888888889,2.4126984126984126,17.92063492063492,1
Alex Caruso,10.205882352941176,3.5,3.7205882352941178,1.6470588235294117,1.0,1.4852941176470589,4.764705882352941,1.3529411764705883,28.926470588235293,1
Alex Len,2.6666666666666665,1.0888888888888888,2.7555555555555555,0.24444444444444444,0.7111111111111111,0.6,0.044444444444444446,0.7555555555555555,9.6,3
Alondes Williams,0.5,0.0,0.0,0.0,0.25,0.25,0.5,0.0,1.25,3
Alperen Sengun,21.216666666666665,4.866666666666666,9.366666666666667,1.2333333333333334,0.75,2.5833333333333335,1.75,5.633333333333334,32.416666666666664,2
Amen Thompson,9.677966101694915,2.6779661016949152,6.762711864406779,1.305084745762712,0.6271186440677966,1.4406779661016949,0.8135593220338984,2.5254237288135593,22.610169491525422,0
Amir Coffey,6.880597014925373,1.1044776119402986,2.1940298507462686,0.6119402985074627,0.208955223880597,0.4626865671641791,2.746268656716418,1.0298507462686568,21.47761194029851,3
Andre Drummond,8.513157894736842,0.4473684210526316,9.157894736842104,0.9078947368421053,0.618421052631579,1.0263157894736843,0.039473684210526314,2.8421052631578947,17.19736842105263,0
Andre Jackson Jr.,2.2777777777777777,0.8518518518518519,2.0,0.24074074074074073,0.1111111111111111,0.5,0.8333333333333334,0.2037037037037037,10.351851851851851,3
Andrew Nembhard,9.292307692307693,4.061538461538461,2.0615384615384613,0.9076923076923077,0.09230769230769231,1.4461538461538461,2.523076923076923,0.8615384615384616,25.015384615384615,1
Andrew Wiggins,13.308823529411764,1.7058823529411764,4.632352941176471,0.6176470588235294,0.5588235294117647,1.2205882352941178,3.6029411764705883,2.6323529411764706,27.058823529411764,1
Anfernee Simons,22.3953488372093,5.558139534883721,3.697674418604651,0.46511627906976744,0.11627906976744186,2.7674418604651163,8.744186046511627,3.86046511627907,34.48837209302326,2
Anthony Black,4.575757575757576,1.3333333333333333,2.0606060606060606,0.5,0.2878787878787879,0.8333333333333334,1.4242424242424243,1.1515151515151516,17.227272727272727,3
Anthony Davis,24.643835616438356,3.5342465753424657,12.67123287671233,1.178082191780822,2.328767123287671,2.1232876712328768,1.3835616438356164,6.767123287671233,35.42465753424658,0
Anthony Edwards,25.960526315789473,5.131578947368421,5.381578947368421,1.3157894736842106,0.5526315789473685,3.0526315789473686,6.7368421052631575,6.5394736842105265,35.078947368421055,2
Anthony Gill,3.74468085106383,0.6595744680851063,1.8936170212765957,0.2765957446808511,0.2127659574468085,0.44680851063829785,0.8723404255319149,0.6382978723404256,9.46808510638298,3
Ausar Thompson,8.95,1.7666666666666666,6.166666666666667,1.1166666666666667,0.8666666666666667,1.2833333333333334,1.8,1.85,24.95,0
Austin Reaves,16.088607594936708,5.6075949367088604,4.30379746835443,0.7848101265822784,0.31645569620253167,2.1265822784810124,5.1645569620253164,3.3037974683544302,32.11392405063291,2
Ayo Dosunmu,12.424657534246576,3.26027397260274,2.904109589041096,0.9178082191780822,0.4931506849315068,1.3972602739726028,3.9452054794520546,1.4383561643835616,29.863013698630137,1
Bam Adebayo,19.102941176470587,3.985294117647059,10.573529411764707,1.1764705882352942,0.9117647058823529,2.25,0.6029411764705882,5.264705882352941,34.044117647058826,0
Ben Sheppard,4.425925925925926,0.9444444444444444,1.5740740740740742,0.6111111111111112,0.037037037037037035,0.2777777777777778,2.740740740740741,0.48148148148148145,14.481481481481481,3
Ben Simmons,5.583333333333333,5.083333333333333,7.416666666666667,0.8333333333333334,0.4166666666666667,1.75,0.0,1.0833333333333333,22.333333333333332,1
Bennedict Mathurin,14.464285714285714,2.017857142857143,4.035714285714286,0.5892857142857143,0.25,1.6607142857142858,3.5892857142857144,3.767857142857143,26.178571428571427,1
Bilal Coulibaly,8.666666666666666,1.7666666666666666,4.1,0.9333333333333333,0.7,1.3666666666666667,2.95,2.183333333333333,27.533333333333335,1
Bismack Biyombo,4.243243243243243,1.3243243243243243,5.081081081081081,0.2702702702702703,0.918918918918919,1.054054054054054,0.0,1.3513513513513513,19.83783783783784,3
