PLAYER_NAME,PTS,AST,REB,STL,BLK,TOV,FG3A,FTA,MIN
Dejounte Murray,15.512922465208748,5.403578528827038,5.815109343936382,1.4731610337972167,0.27634194831013914,2.10934393638171,3.530815109343936,2.4831013916500995,29.314115308151095
Jamal Murray,17.953358208955223,4.6809701492537314,3.764925373134328,1.0111940298507462,0.3675373134328358,2.0261194029850746,5.604477611940299,2.9477611940298507,31.33768656716418
Jakob Poeltl,8.926050420168067,1.8201680672268907,6.979831932773109,0.6403361344537815,1.2722689075630251,1.2117647058823529,0.011764705882352941,1.8521008403361345,22.38487394957983
Taurean Prince,9.871134020618557,1.7268041237113403,3.5927835051546393,0.8161512027491409,0.3848797250859107,1.379725085910653,4.422680412371134,1.4261168384879725,24.74742268041237
Jaylen Brown,18.965174129353233,2.6351575456053067,5.320066334991708,1.0149253731343284,0.3781094527363184,2.1177446102819237,5.2802653399668324,3.8739635157545607,30.620232172470978
Malcolm Brogdon,15.285097192224622,4.65658747300216,4.140388768898488,0.7991360691144709,0.23326133909287258,1.7041036717062634,4.190064794816415,2.775377969762419,29.114470842332615
Georges Niang,7.4375,0.9816176470588235,2.488970588235294,0.3235294117647059,0.14338235294117646,0.6966911764705882,4.069852941176471,0.5459558823529411,17.454044117647058
Gary Payton II,5.485185185185185,1.1555555555555554,2.825925925925926,0.9666666666666667,0.28888888888888886,0.5962962962962963,1.4148148148148147,0.562962962962963,14.925925925925926
Pascal Siakam,18.004769475357712,3.5945945945945947,6.650238473767885,0.904610492845787,0.5945945945945946,1.7996820349761526,3.2416534181240064,4.104928457869635,31.21939586645469
Ivica Zubac,10.193493150684931,1.3595890410958904,8.11986301369863,0.3732876712328767,0.9845890410958904,1.207191780821918,0.02054794520547945,2.4486301369863015,23.0
Dorian Finney-Smith,8.306260575296108,1.4399323181049068,4.521150592216582,0.8206429780033841,0.44839255499153974,0.8697123519458545,4.297800338409475,0.949238578680203,27.95431472081218
Fred VanVleet,14.916363636363636,5.674545454545455,3.4254545454545453,1.3763636363636365,0.46,1.6545454545454545,6.783636363636363,2.7236363636363636,31.26
Derrick Jones Jr.,7.223340040241449,0.7364185110663984,3.2796780684104627,0.6941649899396378,0.6317907444668008,0.6257545271629779,1.9859154929577465,1.6277665995975854,20.293762575452718
Alex Caruso,6.851318944844125,2.824940047961631,2.8800959232613907,1.3357314148681054,0.5107913669064749,1.1654676258992807,2.709832134292566,1.3357314148681054,22.270983213429258
Markelle Fultz,10.415686274509804,4.356862745098039,3.203921568627451,1.1215686274509804,0.27450980392156865,1.768627450980392,1.1607843137254903,1.7411764705882353,24.007843137254902
De'Aaron Fox,21.46704331450094,6.143126177024482,3.92090395480226,1.423728813559322,0.416195856873823,2.7288135593220337,4.645951035781544,5.4613935969868175,33.258003766478346
Jayson Tatum,23.562393162393164,3.8341880341880343,7.338461538461538,1.0923076923076922,0.6564102564102564,2.3743589743589744,7.147008547008547,5.413675213675214,34.5025641025641
Malik Monk,12.321223709369026,3.1682600382409176,2.632887189292543,0.6061185468451242,0.3326959847036329,1.6137667304015297,5.124282982791587,1.9483747609942639,22.835564053537286
Jonathan Isaac,7.5978260869565215,0.8043478260869565,4.923913043478261,0.9528985507246377,1.3043478260869565,0.7789855072463768,2.4782608695652173,1.576086956521739,20.434782608695652
Lauri Markkanen,18.22222222222222,1.46,7.113333333333333,0.6977777777777778,0.49333333333333335,1.3888888888888888,6.833333333333333,3.6133333333333333,31.013333333333332
Donovan Mitchell,24.712430426716143,4.6938775510204085,4.311688311688312,1.37291280148423,0.3209647495361781,2.684601113172542,8.198515769944342,4.99443413729128,33.84786641929499
Luke Kennard,9.819565217391304,2.2717391304347827,2.8282608695652174,0.5413043478260869,0.12173913043478261,0.9760869565217392,4.482608695652174,1.0021739130434784,23.38695652173913
Zach Collins,7.970899470899471,1.812169312169312,4.833333333333333,0.42328042328042326,0.6746031746031746,1.3624338624338623,1.9259259259259258,1.6481481481481481,18.87830687830688
John Collins,16.002118644067796,1.4766949152542372,8.061440677966102,0.6101694915254238,1.0127118644067796,1.5338983050847457,2.8728813559322033,3.1822033898305087,29.10593220338983
OG Anunoby,12.871951219512194,1.6890243902439024,4.357723577235772,1.2947154471544715,0.5873983739837398,1.3191056910569106,4.6727642276422765,1.886178861788618,30.191056910569106
Jarrett Allen,12.830985915492958,1.6690140845070423,9.223591549295774,0.653169014084507,1.2376760563380282,1.3503521126760563,0.20422535211267606,3.573943661971831,28.204225352112676
Bam Adebayo,15.737213403880071,3.6049382716049383,8.860670194003527,1.0705467372134039,0.8624338624338624,2.1481481481481484,0.5731922398589065,4.582010582010582,30.606701940035272
